,tag,embedding,similarity
10,Control-tapón,"[-0.02548623 -0.01571996  0.03370536 ...  0.02380096  0.00471392
 -0.00090566]",0.77318772494093
18,Defectos-superficiales-monedas,"[-0.01801728  0.0079814   0.01912562 ... -0.01404348 -0.00762997
 -0.01597632]",0.7730199859761449
7,Defecto-de-cortes,"[-0.0372442   0.00608261  0.02523987 ...  0.00517669 -0.01043733
 -0.00599867]",0.7728201596679242
6,Control-topping-tarrinas-arroz,"[-0.01081469 -0.0109761   0.03486526 ...  0.02717357 -0.02408566
 -0.00357039]",0.7728123295162821
4,pozo,"[-0.01313993 -0.01494318  0.0119491  ...  0.01045886 -0.01261596
  0.0155556 ]",0.7727605623759906
16,consumo,"[ 0.00951763 -0.00848945  0.01515874 ...  0.00396336  0.00529027
 -0.01342889]",0.7726569207270182
3,Plástico-roto-en-madalenas,"[-0.03450495 -0.01026717  0.01256966 ...  0.02775962 -0.01891286
 -0.01626662]",0.7726337306204405
14,indústria-4.0,"[ 0.00256079 -0.01614693  0.00095307 ...  0.00724367 -0.00657032
 -0.00552628]",0.7724825331044841
4,brakes,"[-0.00264173 -0.00770042 -0.00986332 ... -0.00419223 -0.00955061
  0.00252283]",0.7724094668120791
8,electrónica,"[-0.02759377 -0.0029614   0.00622831 ... -0.00851465  0.01194416
 -0.00229784]",0.7724086366650943
19,axles,"[-0.0124268  -0.00402373 -0.00818575 ...  0.00284987 -0.00923943
 -0.02702681]",0.7723557426380124
10,moneda,"[-0.0113097  -0.01606484  0.0141491  ... -0.00431041 -0.00603116
 -0.02801084]",0.7723317573670986
17,código-de-barras,"[-0.02403437 -0.00213833  0.00022892 ... -0.00507918 -0.01603663
 -0.00981541]",0.772235964475841
9,Defectos-pan-inferior,"[-0.01528544  0.01604694  0.0341984  ...  0.01169253 -0.02460347
 -0.02010368]",0.7721865178951847
10,encolado-cajas,"[-0.02783865 -0.01294051  0.01337929 ...  0.00835699 -0.0118267
 -0.00913329]",0.7720125455343922
7,laboratorios-braun,"[-0.02398293 -0.00238852 -0.01116037 ... -0.00852044 -0.01743197
  0.01087403]",0.7714104929891487
1,Automotive,"[ 0.00359426  0.01056084  0.01392652 ... -0.0085931  -0.01518534
  0.00921589]",0.7713932097675698
16,forja,"[-0.00802526 -0.00544155 -0.01325435 ...  0.01563931 -0.00278588
 -0.02627569]",0.7710130617104746
19,Troquel,"[-0.02651452 -0.01504767  0.00330065 ...  0.0246011   0.00997711
 -0.01079032]",0.7705124941988036
1,Faltado-material-plástico,"[-0.02613806  0.02917423  0.00621403 ...  0.01300156 -0.00869694
 -0.02512601]",0.7703837149197933
18,robotica,"[-0.0215598  -0.02379676 -0.00767836 ... -0.00195733 -0.01557631
 -0.00138008]",0.7703275791699806
7,Control-de-envases,"[-0.01619354 -0.00457949  0.02107552 ...  0.02428327 -0.01596843
 -0.02007661]",0.7701934152664901
12,auto,"[-0.01382313 -0.02554107 -0.00649332 ... -0.00839286 -0.01544733
  0.01231046]",0.7701232876816312
15,NISSAN,"[-0.00959047 -0.00887003  0.00244058 ... -0.01073392  0.00808349
 -0.00866513]",0.7699141360772114
0,Botella,"[-0.02432282 -0.01625431  0.0158372  ... -0.01051251 -0.02029508
 -0.00254992]",0.7698345351554404
4,pipetas,"[-0.0309119  -0.00628024  0.02032896 ... -0.00449505 -0.00707329
  0.01661683]",0.7697217690396571
12,Defectos-cierre-latas-de-conserva,"[-0.0032084   0.00243214  0.02109727 ...  0.01352047 -0.0341201
 -0.01850391]",0.7696068172904911
9,Modelo-blanco,"[-0.0256427  -0.01468473 -0.00325111 ...  0.01553469 -0.01659388
 -0.00148743]",0.7694964770687284
8,Plata,"[-0.01758958 -0.00312617  0.01036723 ... -0.0030598  -0.02372959
 -0.01019705]",0.7692687379350585
3,resumen,"[-0.02998106 -0.0216266   0.00941623 ... -0.00684912  0.00324818
 -0.00180746]",0.7691336533400268
16,TR-1789-vasos,"[-0.03776303 -0.00539424  0.00040985 ... -0.01986045 -0.01866695
 -0.00011011]",0.7684127415459511
11,encelofanadora,"[-0.02780178 -0.01423829 -0.00731484 ...  0.01340154  0.01301015
 -0.02445477]",0.7683437175891211
9,camera,"[-0.00055491 -0.013066   -0.00643361 ...  0.00163491 -0.01388759
 -0.00602281]",0.7683378634470818
14,ejes,"[-0.02580153 -0.00761166 -0.0093176  ... -0.01055081  0.00317381
 -0.01335979]",0.7680219367654338
9,ultravioleta,"[-0.0099284   0.00781769  0.00882599 ...  0.00278795  0.01136018
  0.01357845]",0.7678487063646021
16,Decoletaje,"[-0.04965346  0.00695016  0.01860013 ... -0.00730862 -0.00205783
  0.00305521]",0.7678380414320526
14,Brake,"[-0.00164512 -0.01017612 -0.01246096 ... -0.00979972 -0.01580898
 -0.01091572]",0.767789386405038
13,cuerpos-extraños-sin-orégano,"[-0.00716135 -0.0133844   0.00261651 ... -0.01001071  0.00157043
 -0.01364657]",0.7677379260448192
10,Plastico,"[-0.02532103  0.01112571  0.01884507 ...  0.01923362 -0.03064428
 -0.02524332]",0.767567499075198
11,Botellas,"[-0.01802958 -0.01418292  0.01299229 ... -0.00985216 -0.02461077
  0.00445179]",0.7675385817886619
8,pila,"[-0.00378449 -0.01067011  0.01347987 ...  0.02276939 -0.00340292
  0.01172464]",0.7675121590839106
18,Defectos-superficiales,"[-0.02575365  0.01259619  0.03119677 ... -0.01007042 -0.00940472
 -0.00547249]",0.7674804639505513
15,weldvision,"[-0.02705517 -0.02369796  0.00340835 ... -0.00959203 -0.00942981
  0.01333716]",0.7674646954789852
9,Textil,"[-0.01072972  0.00129376 -0.00152937 ...  0.01102277 -0.01304084
 -0.00756608]",0.7674539438421023
15,laboratorios-lesvi,"[-0.01670016  0.01154768  0.00186236 ... -0.02960229  0.00387832
 -0.01040269]",0.7673034442040617
11,bollería,"[-0.01626236 -0.00248947  0.01477198 ...  0.01313651  0.00878405
 -0.01247045]",0.7672650588352136
16,agregacion,"[-0.02089994  0.01000823  0.00394807 ... -0.0189259  -0.01691045
 -0.00354774]",0.7669878900053985
1,Piezas-pollo,"[-0.02553885 -0.00721919  0.00139484 ...  0.01476182  0.01285999
  0.00234818]",0.7668646969559442
1,Cantidad-de-virutas,"[-0.01673525  0.00304635  0.00378698 ... -0.02709386 -0.00935286
  0.00407434]",0.7667830194270708
10,posición-simbologia,"[-0.02735739 -0.01234757 -0.00618072 ...  0.01373416 -0.01161961
 -0.0153634 ]",0.7667747951115494
3,Suciedad-cajas,"[-0.00551933 -0.01536753  0.01415003 ... -0.00365588 -0.01862772
 -0.01315574]",0.7667706500979704
2,cámara-lineal,"[-0.02679386  0.00858457  0.00688222 ... -0.00435123 -0.02041437
 -0.00223629]",0.7665428325310407
3,envoltorio,"[-0.02240786 -0.00669019 -0.00277874 ...  0.01932798 -0.01898577
 -0.03545288]",0.7664864796831892
4,Tapón,"[-0.01772507 -0.02316451  0.02004286 ... -0.00153319 -0.01313638
  0.00948553]",0.7661942015073684
6,battery,"[-0.00476377 -0.02577464  0.01091057 ... -0.00261064 -0.01958593
 -0.01631695]",0.7661828321623246
6,queso,"[-0.00623661 -0.00771281  0.0072388  ...  0.01368533 -0.00535292
 -0.01950211]",0.7660920404616802
18,láser,"[-0.03238605  0.0110927   0.00825994 ... -0.01876702  0.00362266
  0.00820546]",0.76592075865676
3,caso-éxito,"[-0.01277733 -0.00266082  0.01242616 ... -0.00983287  0.00096488
 -0.01620803]",0.7654687243361247
0,Control-corte-queso,"[-0.0245837  -0.0063064   0.02243946 ...  0.02773861 -0.00075885
 -0.01479119]",0.7653563737762171
16,Termosellado-(Original),"[-0.0264094  -0.01806114  0.00024291 ...  0.01292375 -0.02203459
 -0.01804776]",0.7652545675386371
19,etiquetas,"[-0.02790998 -0.00324262 -0.00020815 ... -0.00076332 -0.00294659
 -0.0078897 ]",0.7652127627823088
19,inspection-parts,"[-1.96870957e-02  1.30814621e-02 -6.86772255e-05 ... -4.75951750e-03
  1.28290635e-02 -8.29309877e-03]",0.7651023557971471
9,Cuerpos-extraños-en-termosellado,"[-0.02662577 -0.0061665   0.02198991 ...  0.00427769 -0.00605838
 -0.00695379]",0.7650981719680224
14,laboratorios-alcon,"[-0.00583099  0.0065923   0.00245803 ... -0.01170977 -0.01601815
  0.00908105]",0.7650389391187655
4,plastic-welding,"[-0.03236011  0.00314499  0.00141626 ...  0.01551438 -0.01847596
 -0.00110126]",0.7650238576211414
18,mecvil,"[-0.03180251 -0.00149457 -0.00010438 ...  0.01392552 -0.0024339
 -0.01281502]",0.7649229100145037
5,laboratorios-fresenius,"[ 0.00298874 -0.01343387  0.00810297 ... -0.01311745  0.00149437
  0.00624231]",0.7647213304836533
8,galleta,"[-0.02691869  0.00466698  0.02017899 ...  0.01334568  0.00753536
 -0.0122224 ]",0.7646366941950745
